author,title,text,tags,isbn,isbn13
Randall Munroe,Thing Explainer: Complicated Stuff In Simple Words,"Randall Munroe — the former NASA roboticist behind the beloved <a href=""http://xkcd.com/"" target=""_blanks"">xkcd</a> webcomic — breaks down complex stuff into simple terms ... really simple terms. The Large Hadron Collider? That's a ""Big tiny thing hitter."" The Mars rover? That's a ""Red world space car."" And for those of us who don't love heights, isn't ""fear porch"" really the best possible term for a balcony? Munroe relies exclusively on 1,000 of the most commonly used words in the English language to define and explain everything from your large intestines (""big food hallway"") to NASA shuttles (""flying space trucks."") And with witty, playful diagrams, you'll be understanding nuclear reactors (""heavy metal power buildings"") in no time.","[staff-picks, comics-and-graphic-novels, eye-opening-reads, funny-stuff, its-all-geek-to-me, nonfiction]",0544668251,9780544668256
Linda Hirshman,Sisters In Law: How Sandra Day O'Connor And Ruth Bader Ginsburg Went To The Supreme Court And Changed The World,"The title tells all: <em>Sisters in Law: How Sandra Day O'Connor and Ruth Bader Ginsburg Went to the Supreme Court and Changed the World.</em> Linda Hirshman's joint biography of the first and second women to serve on the nation's highest court is a gossipy, funny, sometimes infuriating and moving tale of two women so similar and yet so different. O'Connor, a lifelong Republican, was raised on a Western ranch and cut her political teeth as majority leader of the Arizona Senate. <a href=""http://www.npr.org/sections/itsallpolitics/2015/10/26/450547606/notorious-rbg-the-supreme-court-justice-turned-cultural-icon"" target=""_blank"">Ginsburg</a> was born and bred in Brooklyn, the daughter of a Russian Jewish immigrant, and became a professor and litigator. But as different as their backgrounds were, and even their approaches to judging, when it came to women's rights, O'Connor and Ginsburg were allies. They began their careers at a time when women could be denied jobs, credit, even a place on a jury. But they always had an amazing self-confidence, believing that they could be lawyers and leaders.","[staff-picks, biography-and-memoir, book-club-ideas, eye-opening-reads, for-history-lovers, ladies-first, nonfiction]",0062238469,9780062238467
Ashlee Vance,"Elon Musk: Tesla, SpaceX, And The Quest For A Fantastic Future","Elon Musk is a real man, but also a cartoon superhero. He decided to take on the biggest challenges on Earth — as well as in outer space — and launched not one, but three companies: Tesla Motors, the luxury electric car brand; SpaceX, the private firm that wants to slash the cost of space travel; and SolarCity, which is led by his cousin from South Africa. When I told a 5-year-old friend about the entrepreneur's life, he said, preciously: ""He is doing too much. He needs to focus."" Sound advice for a man who doesn't seem to know how to take advice. Musk is all over the place. The biography by Ashlee Vance is not. It's a page-turning read with brilliant detail. And quite a testament to the reporting. When Musk refused to participate in interviews, Vance circled his friends and family and became such a pain, the superhero caved, and talked.","[staff-picks, biography-and-memoir, book-club-ideas, its-all-geek-to-me, nonfiction]",0062301233,9780062301239
Jamie Bartlett,The Dark Net: Inside The Digital Underworld,"<em>The Dark Net</em> is a meticulously researched and reported look at the hidden world of cryptocurrency, anonymous Web browsing and online subcultures. Information technology has carved out small spaces of almost absolute freedom while simultaneously enabling mass surveillance and tracking. Author Jamie Bartlett takes a fair, thoughtful approach to the subject, and if you've ever wondered what a bitcoin is or how both child pornographers and political freedom fighters hide out online, <em>The Dark Net</em> serves as a great introduction.","[staff-picks, its-all-geek-to-me, nonfiction, the-dark-side]",1612194893,9781612194899
Kate Beaton,"Step Aside, Pops: A Hark! A Vagrant Collection","I depend on Kate Beaton's comic strips when I need a good, hearty giggle. Her latest collection features hilarious parodies of classic literature, history and pop-culture, with brilliant caricatures of everyone from Lord Byron to Ida B. Wells and Wonder Woman. Highlights include her blistering takedowns of ""strong female characters"" and ""cool girls,"" as well as her cheeky depiction of hairy-legged, bra-burning ""straw feminists,"" who sneak into children's bedrooms to swap a Justin Bieber poster for one of a busty Mother Earth. And if you thought <em>Wuthering Heights</em> was too ridiculous to parody, Beaton finds a way to make it even more deliciously weird.","[staff-picks, comics-and-graphic-novels, for-history-lovers, funny-stuff, ladies-first, rather-short]",1770462082,9781770462083
Lynsey Addario,It's What I Do: A Photographer's Life Of Love And War,"In 2011 photojournalist Lynsey Addario was kidnapped in Libya. She was covering the fighting between dictator Moammar Gadhafi's troops and rebel forces when the car she was traveling in (with three other journalists) was ransacked. She was tied up, assaulted and held for a week. Addario's memoir, <em>It's What I Do,</em> begins with this chilling scene. In her vivid retelling, you can practically hear the bullets whiz by and taste the dirt as she's pushed to the ground with a gun held to her head. It's a story of vulnerability, humanity and courage that will give you an adrenaline rush without your moving a muscle.","[staff-picks, biography-and-memoir, eye-opening-reads, for-art-lovers, ladies-first, nonfiction, tales-from-around-the-world]",159420537X,9781594205378
Nadia Bolz-Weber,Accidental Saints: Finding God In All The Wrong People,"I never would have guessed that my favorite interview of 2015 would be with a Lutheran minister, but Nadia Bolz-Weber isn't your average holy roller. Decked out in sleeve tattoos, she curses like a sailor and has a background in comedy. In 2008 she founded her own church, The House for All Sinners and Saints, which welcomes all walks of life — including addicts, drag queens and nonbelievers. <em>Accidental Saints</em> is a series of unflinchingly honest (and funny) stories about her life as a minister. You don't have to be religious to get something out of this book. Like this: ""Whenever people annoy me beyond reason, I can guarantee it's because they're demonstrating something I'd rather not see in myself."" This is a quick read that will leave you feeling better about yourself and others — for all our flawed, messy goodness.","[staff-picks, biography-and-memoir, book-club-ideas, eye-opening-reads, funny-stuff, identity-and-culture, ladies-first, nonfiction]",1601427557,9781601427557
Andy Goldsworthy,Andy Goldsworthy: Ephemeral Works: 2004-2014,"Andy Goldsworthy creates art from the materials he finds in nature. His sculptures are made from ice sheets, tree branches, snow, clay and rock — he uses leaves like paint. Much of his art is meant to be ephemeral, to decay and degrade with the elements, to exist in a moment. Fortunately, Goldsworthy also photographs this work for us to enjoy and has collected 10 years of his temporary art in this beautiful coffee table book. Plus, if you've ever had the urge to just lie down outside in the rain, Goldsworthy's rain shadow photographs provide you an excuse — you're making art. Another book documenting his more permanent works is due out in spring 2017.","[staff-picks, for-art-lovers]",1419717790,9781419717796
"Neil Gaiman, illustrated by JH Williams III",The Sandman: Overture,"Best-selling author Neil Gaiman made his name writing the horror/fantasy comic book series <em>The Sandman</em> about the godlike character Morpheus, the Lord of Dreaming. Its 75-issue run revealed Gaiman's seemingly limitless imagination — he wrote stories about a convention for serial killers, the gods that view hell as prime real estate for development once Lucifer abandons it, and the premiere of Shakespeare's <em>A Midsummer Night's Dream</em> held for an audience from the fairy realm. For the 25th anniversary of the comic book, Gaiman returned to his beloved characters for a six-issue miniseries. Here, Morpheus is tasked with saving the universe from complete destruction — a destruction he himself set in motion. <em>The Sandman: Overture</em> serves as a prequel to the original series and gives you the chance to read it all over again.","[staff-picks, comics-and-graphic-novels, science-fiction-and-fantasy]",1401248969,9781401248963
Ari Berman,Give Us The Ballot: The Modern Struggle For Voting Rights In America,"In 1965, LBJ signed the Voting Rights Act, wiping away obstacles that had prevented African-Americans from voting, like literacy tests and poll taxes. But what happened after the VRA became law? In <em>Give Us the Ballot,</em> Ari Berman chronicles five decades of political and ideological fights over voting rights. He argues that the law's passage birthed a ""counterrevolutionary"" movement that worked to restrict minority voters through voter ID laws, racial gerrymandering, voting purges and other efforts. Berman's book culminates with the 2013 5-to-4 Supreme Court decision that struck down a key part of the Voting Rights Act. The book seems particularly interesting now that we're in the midst of the first presidential election held since that controversial decision.","[staff-picks, eye-opening-reads, for-history-lovers, identity-and-culture, nonfiction]",0374158274,9780374158279
